	ActionName	TaskId	TaskName	TaskCode	ModelName	BehaviourType	AnyOfTheseMode	SearchSetGroup	PropertyName	Operator	PropertyValue
	NONE	3560357	Demolition of Rental Cabins		V02_forecourt rental cabins.skp	Demolition	And	AllOfThese	General.Layer	Equals	Layer0
	NONE	16414224	DEMRC - Demolish Rental Cabins	CON.SP1.1060	V03_forecourt rental cabins.skp	Demolition	And	AllOfThese	General.Layer	Equals	Layer0
	NONE	16413100	PB - A1-1 - Piling (22no.)	CON.SP1.2105	V01_MH Ped Bridge Stick build zoning - VBS.nwd	Construction	And	AllOfThese	Element.Family	Equals	AUR_StrFdn_Pile
	NONE	16413100	PB - A1-1 - Piling (22no.)	CON.SP1.2105	V01_MH Ped Bridge Stick build zoning - VBS.nwd	Construction	And	AnyOfThese	VB_PDS.Zone	Equals	Zone A1-2
	NONE	16413100	PB - A1-1 - Piling (22no.)	CON.SP1.2105	V01_MH Ped Bridge Stick build zoning - VBS.nwd	Construction	And	AnyOfThese	VB_PDS.Zone	Equals	Zone A1-1
	NONE	16414745	PB - A1-1 - Pour Pile Cap & Ground Beams	CON.SP1.2135	V01_MH Ped Bridge Stick build zoning - VBS.nwd	Construction	And	AllOfThese	VB_PDS.Zone	Equals	Zone A1-1
	NONE	16414745	PB - A1-1 - Pour Pile Cap & Ground Beams	CON.SP1.2135	V01_MH Ped Bridge Stick build zoning - VBS.nwd	Construction	And	AnyOfThese	Element.Family	Equals	AUR_StrFdn_GroundBeam
	NONE	16414745	PB - A1-1 - Pour Pile Cap & Ground Beams	CON.SP1.2135	V01_MH Ped Bridge Stick build zoning - VBS.nwd	Construction	And	AnyOfThese	Element.Family	Equals	AUR_StrFdn_Pilecap
	NONE	16413326	PB - A1-1 - Cure Piers Prior to Installing Crosshead (10No)	CON.SP1.2155	V01_MH Ped Bridge Stick build zoning - VBS.nwd	Construction	And	AllOfThese	Element.Type	Equals	AUR_Column_Conc Round_900
	NONE	16413326	PB - A1-1 - Cure Piers Prior to Installing Crosshead (10No)	CON.SP1.2155	V01_MH Ped Bridge Stick build zoning - VBS.nwd	Construction	And	AnyOfThese	VB_PDS.Zone	Equals	Zone A1-1
	NONE	16413147	PB - A1-2 - Pour Pile Caps & Ground Beams	CON.SP1.2218	V01_MH Ped Bridge Stick build zoning - VBS.nwd	Construction	And	AllOfThese	VB_PDS.Zone	Equals	Zone A1-2
	NONE	16413147	PB - A1-2 - Pour Pile Caps & Ground Beams	CON.SP1.2218	V01_MH Ped Bridge Stick build zoning - VBS.nwd	Construction	And	AnyOfThese	Element.Family	Equals	AUR_StrFdn_GroundBeam
	NONE	16413147	PB - A1-2 - Pour Pile Caps & Ground Beams	CON.SP1.2218	V01_MH Ped Bridge Stick build zoning - VBS.nwd	Construction	And	AnyOfThese	Element.Family	Equals	AUR_StrFdn_Pilecap
	NONE	16413327	PB - A1-2 - Cure Piers Prior to Installing Crosshead (2No)	CON.SP1.2230	V01_MH Ped Bridge Stick build zoning - VBS.nwd	Construction	And	AllOfThese	VB_PDS.Zone	Equals	Zone A1-2
	NONE	16413327	PB - A1-2 - Cure Piers Prior to Installing Crosshead (2No)	CON.SP1.2230	V01_MH Ped Bridge Stick build zoning - VBS.nwd	Construction	And	AnyOfThese	Element.Type	Equals	AUR_Column_Conc Round_900
	NONE	16413107	PB - A2 - Piling (4no.)	CON.SP1.2245	V01_MH Ped Bridge Stick build zoning - VBS.nwd	Construction	And	AllOfThese	VB_PDS.Zone	Equals	Zone A2
	NONE	16413107	PB - A2 - Piling (4no.)	CON.SP1.2245	V01_MH Ped Bridge Stick build zoning - VBS.nwd	Construction	And	AnyOfThese	Element.Family	Equals	AUR_StrFdn_Pile
	NONE	16414720	PB - A2 - Pour Pile Caps & Ground Beams	CON.SP1.2263	V01_MH Ped Bridge Stick build zoning - VBS.nwd	Construction	And	AllOfThese	VB_PDS.Zone	Equals	Zone A2
	NONE	16414720	PB - A2 - Pour Pile Caps & Ground Beams	CON.SP1.2263	V01_MH Ped Bridge Stick build zoning - VBS.nwd	Construction	And	AnyOfThese	Element.Family	Equals	AUR_StrFdn_Pilecap
