	ActionName	ParentTaskId	TaskId	TaskCode	IsCreatedTask	Name	StartDateTime	FinishDateTime	*LCPL Text Generic UDF 01	*LCPL Text Generic UDF 12	~ SRA MaxDuration	~ SRA MinDuration	~SRA MaxDuration	~SRA MinDuration	~SRA Wet Weather	Comment	Comments	LPS-END-Postion	LPS-SHAPE-Code	LPS-START-Position	MSP Activity ID	Production	Quantity	Responsible	Stage	TC - Finish CH	TC - Shape Code	TC - Start CH	Text8	Turbo Chart - Shape Code	Unit of Measure	V1982 - APAM_Family	V1982 - APAM_Level	V1982 - APAM_Location	V1982 - APAM_Workset	V1982 - Car Parks	V1982 - Level	V1982 - Plant	V1982 - PROGRAM	V1982 Phase	V1982x Sub-Discipline (not used)	V1982x Work Area (not used)	VBU Production	VBU Production Measure	VBU Quantity	VBU Quantity Measure	zText_01
	None	-1	3560305		False	Melbourne Airport ERF - Delivery Program - LIVE	17/04/2023 8:00 AM	11/07/2026 4:00 PM																																							
	None	3560305	3560309		False	Contract Key Dates	17/04/2023 8:00 AM	11/07/2026 4:00 PM																																							
	None	3560309	3560312		False	Project Dates	17/04/2023 8:00 AM	17/04/2024 4:00 PM																																							
	None	3560312	16413041	KD.1010	False	ECI Tender Period	17/04/2023 8:00 AM	4/07/2023 4:00 PM							V1962 - 5d Admin						5																		Main Program								
	None	3560312	16413012	KD.1015	False	Target ECI Contract Award  (Execute ECI Agreement)	21/11/2023 4:00 PM	21/11/2023 4:00 PM							V1962 - 5d PH		17/11/23: Delayed to 21/11.				3																		Main Program								
	None	3560312	16801307	KD.1018	False	Effective ECI Contract Award  (proceeding at risk)	18/09/2023 4:00 PM	18/09/2023 4:00 PM							V1962 - 5d PH		17/11/23: New task added, logic as per KD.1015 original				8																		Main Program								
	None	3560312	16413040	KD.1020	False	Target D&C Contract Award	17/04/2024 4:00 PM	17/04/2024 4:00 PM							V1962 - 5d Admin						6								Y										Main Program								
	None	3560312	16413245	KD.1140	False	APAM Tender Review Period	6/07/2023 8:00 AM	18/09/2023 4:00 PM							V1962 - 5d Admin		15/9/23: Incr from 41 to 54 days				4																		Main Program								
	None	3560309	3560511		False	Key Interface Dates	1/12/2023 4:00 PM	2/12/2025 8:00 AM																																							
	None	3560511	16413323	KD.1150	False	Provisional Finish Date for Piers 1 to 9 MARL (By others)	2/12/2025 8:00 AM	2/12/2025 8:00 AM							V1962 - 5d Admin						10																		Main Program								
